Metro,Date,Days_on_Market,Income_Needed,Inventory,Market_Temp,New_Construction,Sales_Count,ZHVF_Growth,ZHVI,ZHVI_State,ZORF_Growth,ZORI
"Arcadia, FL",2007-02-28,,,,,,,,146618.82735461695,,,
"Arcadia, FL",2007-03-31,,,,,,,,146337.66868386013,,,
"Arcadia, FL",2007-04-30,,,,,,,,145945.81513036625,,,
"Arcadia, FL",2007-05-31,,,,,,,,145004.9030045174,,,
"Arcadia, FL",2007-06-30,,,,,,,,143532.12143505356,,,
"Arcadia, FL",2007-07-31,,,,,,,,142461.3185524197,,,
"Arcadia, FL",2007-08-31,,,,,,,,141167.27081348668,,,
"Arcadia, FL",2007-09-30,,,,,,,,139909.44173137963,,,
"Arcadia, FL",2007-10-31,,,,,,,,137934.0393084972,,,
"Arcadia, FL",2007-11-30,,,,,,,,136122.69031936422,,,
"Arcadia, FL",2007-12-31,,,,,,,,134322.74492879276,,,
"Arcadia, FL",2008-01-31,,,,,,,,132389.83818058137,,,
"Arcadia, FL",2008-02-29,,,,,,,,130465.7443446368,,,
"Arcadia, FL",2008-03-31,,,,,,,,128377.38137688015,,,
"Arcadia, FL",2008-04-30,,,,,,,,126124.01971086652,,,
"Arcadia, FL",2008-05-31,,,,,,,,123653.86033514964,,,
"Arcadia, FL",2008-06-30,,,,,,,,121373.67373832897,,,
"Arcadia, FL",2008-07-31,,,,,,,,119053.60786905902,,,
"Arcadia, FL",2008-08-31,,,,,,,,116540.18358798612,,,
"Arcadia, FL",2008-09-30,,,,,,,,113981.0810987586,,,
"Arcadia, FL",2008-10-31,,,,,,,,111739.31568600504,,,
"Arcadia, FL",2008-11-30,,,,,,,,110067.74188460795,,,
"Arcadia, FL",2008-12-31,,,,,,,,108688.62766462722,,,
"Arcadia, FL",2009-01-31,,,,,,,,107258.80723015817,,,
"Arcadia, FL",2009-02-28,,,,,,,,106013.07822153717,,,
"Arcadia, FL",2009-03-31,,,,,,,,104693.21536932595,,,
"Arcadia, FL",2009-04-30,,,,,,,,103413.21261918066,,,
"Arcadia, FL",2009-05-31,,,,,,,,102133.18140518859,,,
"Arcadia, FL",2009-06-30,,,,,,,,100751.48004889143,,,
"Arcadia, FL",2009-07-31,,,,,,,,99283.48713149782,,,
"Arcadia, FL",2009-08-31,,,,,,,,97784.7083965845,,,
"Arcadia, FL",2009-09-30,,,,,,,,96406.36080807715,,,
"Arcadia, FL",2009-10-31,,,,,,,,95306.4352161615,,,
"Arcadia, FL",2009-11-30,,,,,,,,94444.13513009665,,,
"Arcadia, FL",2009-12-31,,,,,,,,93770.41402068199,,,
"Arcadia, FL",2010-01-31,,,,,,,,93224.37409153678,,,
"Arcadia, FL",2010-02-28,,,,,,,,92708.54771834165,,,
"Arcadia, FL",2010-03-31,,,,,,,,92213.87829555012,,,
"Arcadia, FL",2010-04-30,,,,,,,,91704.62779335055,,,
"Arcadia, FL",2010-05-31,,,,,,,,91174.14389411108,,,
"Arcadia, FL",2010-06-30,,,,,,,,90692.99759932196,,,
"Arcadia, FL",2010-07-31,,,,,,,,90200.17191335536,,,
"Arcadia, FL",2010-08-31,,,,,,,,89629.18335227888,,,
"Arcadia, FL",2010-09-30,,,,,,,,88942.66744988576,,,
"Arcadia, FL",2010-10-31,,,,,,,,88074.15301590365,,,
"Arcadia, FL",2010-11-30,,,,,,,,87300.82048867973,,,
"Arcadia, FL",2010-12-31,,,,,,,,86487.21604132408,,,
"Arcadia, FL",2011-01-31,,,,,,,,85928.21445547436,,,
"Arcadia, FL",2011-02-28,,,,,,,,85404.90543013815,,,
"Arcadia, FL",2011-03-31,,,,,,,,84893.24307069105,,,
"Arcadia, FL",2011-04-30,,,,,,,,84313.29524289245,,,
"Arcadia, FL",2011-05-31,,,,,,,,83791.44304016519,,,
"Arcadia, FL",2011-06-30,,,,,,,,83393.44977746638,,,
"Arcadia, FL",2011-07-31,,,,,,,,83012.1275647381,,,
"Arcadia, FL",2011-08-31,,,,,,,,82611.43596647576,,,
"Arcadia, FL",2011-09-30,,,,,,,,82225.42804169345,,,
"Arcadia, FL",2011-10-31,,,,,,,,81851.24321915762,,,
"Arcadia, FL",2011-11-30,,,,,,,,81503.50708430393,,,
"Arcadia, FL",2011-12-31,,,,,,,,81241.50017408699,,,
"Arcadia, FL",2012-01-31,,,,,,,,81045.15815515403,,,
"Arcadia, FL",2012-02-29,,,,,,,,80935.78023042939,,,
"Arcadia, FL",2012-03-31,,,,,,,,80751.03716562437,,,
"Arcadia, FL",2012-04-30,,,,,,,,80927.30030068087,,,
"Arcadia, FL",2012-05-31,,,,,,,,81119.07118720468,,,
"Arcadia, FL",2012-06-30,,,,,,,,81613.25928462176,,,
"Arcadia, FL",2012-07-31,,,,,,,,81720.75482795523,,,
"Arcadia, FL",2012-08-31,,,,,,,,81386.00784481195,,,
"Arcadia, FL",2012-09-30,,,,,,,,80636.97505623613,,,
"Arcadia, FL",2012-10-31,,,,,,,,80127.91638760961,,,
"Arcadia, FL",2012-11-30,,,,,,,,80050.29821657289,,,
"Arcadia, FL",2012-12-31,,,,,,,,80274.91028989723,,,
"Arcadia, FL",2013-01-31,,,,,,,,80445.67021352518,,,
"Arcadia, FL",2013-02-28,,,,,,,,80673.12785728673,,,
"Arcadia, FL",2013-03-31,,,,,,,,81184.32218519281,,,
"Arcadia, FL",2013-04-30,,,,,,,,82046.74486572247,,,
"Arcadia, FL",2013-05-31,,,,,,,,83155.00378849084,,,
"Arcadia, FL",2013-06-30,,,,,,,,84274.87092037921,,,
"Arcadia, FL",2013-07-31,,,,,,,,84954.57817585974,,,
"Arcadia, FL",2013-08-31,,,,,,,,85364.50771898,,,
"Arcadia, FL",2013-09-30,,,,,,,,85280.01104479506,,,
"Arcadia, FL",2013-10-31,,,,,,,,85348.63726308175,,,
"Arcadia, FL",2013-11-30,,,,,,,,85297.73241233487,,,
"Arcadia, FL",2013-12-31,,,,,,,,85795.25466239512,,,
"Arcadia, FL",2014-01-31,,,,,,,,86435.48158091948,,,
"Arcadia, FL",2014-02-28,,,,,,,,87118.7670314096,,,
"Arcadia, FL",2014-03-31,,,,,,,,87706.98151223273,,,
"Arcadia, FL",2014-04-30,,,,,,,,88304.45117573296,,,
"Arcadia, FL",2014-05-31,,,,,,,,89084.85103714497,,,
"Arcadia, FL",2014-06-30,,,,,,,,89760.58488531686,,,
"Arcadia, FL",2014-07-31,,,,,,,,90212.28386765746,,,
"Arcadia, FL",2014-08-31,,,,,,,,90614.31595647428,,,
"Arcadia, FL",2014-09-30,,,,,,,,90965.32417401148,,,
"Arcadia, FL",2014-10-31,,,,,,,,91370.46319319401,,,
"Arcadia, FL",2014-11-30,,,,,,,,92067.6533235294,,,
"Arcadia, FL",2014-12-31,,,,,,,,92969.70329035835,,,
"Arcadia, FL",2015-01-31,,,,,,,,93881.20692132013,,,
"Arcadia, FL",2015-02-28,,,,,,,,94708.1522675845,,,
"Arcadia, FL",2015-03-31,,,,,,,,95471.65751890343,,,
"Arcadia, FL",2015-04-30,,,,,,,,96427.32635201789,,,
"Arcadia, FL",2015-05-31,,,,,,,,97271.74677493055,,,
"Arcadia, FL",2015-06-30,,,,,,,,97990.0634346477,,,
"Arcadia, FL",2015-07-31,,,,,,,,98872.52267437275,,,
"Arcadia, FL",2015-08-31,,,,,,,,100116.70323300567,,,
"Arcadia, FL",2015-09-30,,,,,,,,101889.73872717837,,,
"Arcadia, FL",2015-10-31,,,,,,,,103797.3441398195,,,
"Arcadia, FL",2015-11-30,,,,,,,,105282.78939033528,,,
"Arcadia, FL",2015-12-31,,,,,,,,106520.38181717478,,,
"Arcadia, FL",2016-01-31,,,,,,,,107537.39348930342,,,
"Arcadia, FL",2016-02-29,,,,,,,,108775.41765066418,,,
"Arcadia, FL",2016-03-31,,,,,,,,109861.8481506026,,,
"Arcadia, FL",2016-04-30,,,,,,,,110818.69457646116,,,
"Arcadia, FL",2016-05-31,,,,,,,,111590.09363023873,,,
"Arcadia, FL",2016-06-30,,,,,,,,112293.67874986395,,,
"Arcadia, FL",2016-07-31,,,,,,,,113135.58933215983,,,
"Arcadia, FL",2016-08-31,,,,,,,,114606.85560372903,,,
"Arcadia, FL",2016-09-30,,,,,,,,116641.95713120907,,,
"Arcadia, FL",2016-10-31,,,,,,,,118778.26818896791,,,
"Arcadia, FL",2016-11-30,,,,,,,,120654.49793749426,,,
"Arcadia, FL",2016-12-31,,,,,,,,122133.48907036283,,,
"Arcadia, FL",2017-01-31,,,,,,,,123585.7671563987,,,
"Arcadia, FL",2017-02-28,,,,,,,,124829.087868627,,,
"Arcadia, FL",2017-03-31,,,,,,,,126026.81512181053,,,
"Arcadia, FL",2017-04-30,,,,,,,,126977.01677011204,,,
"Arcadia, FL",2017-05-31,,,,,,,,127853.78827588355,,,
"Arcadia, FL",2017-06-30,,,,,,,,128626.73727147405,,,
"Arcadia, FL",2017-07-31,,,,,,,,129524.16533723597,,,
"Arcadia, FL",2017-08-31,,,,,,,,130580.38364675843,,,
"Arcadia, FL",2017-09-30,,,,,,,,131685.34475472764,,,
"Arcadia, FL",2017-10-31,,,,,,,,132728.86698982122,,,
"Arcadia, FL",2017-11-30,,,,,,,,133806.07366919715,,,
"Arcadia, FL",2017-12-31,,,,,,,,134792.36267266376,,,
"Arcadia, FL",2018-01-31,,,,23.0,,,,135770.14992788283,,,
"Arcadia, FL",2018-02-28,,,,10.0,,,,136498.80230246173,,,
"Arcadia, FL",2018-03-31,,,127.0,29.0,,,,137324.99750719627,,,
"Arcadia, FL",2018-04-30,,,127.0,51.0,,,,138038.34539386645,,,
"Arcadia, FL",2018-05-31,,,128.0,34.0,,,,139003.3296769729,,,
"Arcadia, FL",2018-06-30,,,125.0,0.0,,,,140017.1581240641,,,
"Arcadia, FL",2018-07-31,,,121.0,-4.0,,,,141156.93797120298,,,
"Arcadia, FL",2018-08-31,,,112.0,-9.0,,,,142153.04391104498,,,
"Arcadia, FL",2018-09-30,,,107.0,-27.0,,,,143245.2840373347,,,
"Arcadia, FL",2018-10-31,,,112.0,-17.0,,,,144461.63436201148,,,
"Arcadia, FL",2018-11-30,,,122.0,0.0,,,,145734.9354181682,,,
"Arcadia, FL",2018-12-31,,,134.0,-5.0,,,,146801.70589187657,,,
"Arcadia, FL",2019-01-31,,,143.0,-14.0,,,,147559.5047299201,,,
"Arcadia, FL",2019-02-28,,,155.0,-13.0,,,,148195.46960264666,,,
"Arcadia, FL",2019-03-31,,,163.0,0.0,,,,148862.57135517648,,,
"Arcadia, FL",2019-04-30,,,162.0,-9.0,,,,149513.0243169118,,,
"Arcadia, FL",2019-05-31,,,158.0,1.0,,,,150432.41179415688,,,
"Arcadia, FL",2019-06-30,,,152.0,30.0,,,,151548.7569510089,,,
"Arcadia, FL",2019-07-31,,,148.0,80.0,,,,152903.94678418053,,,
"Arcadia, FL",2019-08-31,,,143.0,64.0,,,,154058.74025630511,,,
"Arcadia, FL",2019-09-30,,,139.0,34.0,,,,154783.74879700155,,,
"Arcadia, FL",2019-10-31,,,147.0,15.0,,,,155287.81287816685,,,
"Arcadia, FL",2019-11-30,,,149.0,24.0,,,,155595.437099454,,,
"Arcadia, FL",2019-12-31,,,154.0,32.0,,,,155996.52674518793,,,
"Arcadia, FL",2020-01-31,,,150.0,41.0,,,,156759.5560484189,,,
"Arcadia, FL",2020-02-29,,,147.0,35.0,,,,157989.19677098072,,,
"Arcadia, FL",2020-03-31,,,146.0,21.0,,,,158904.6443349929,,,
"Arcadia, FL",2020-04-30,,,141.0,37.0,,,,159371.88608662528,,,
"Arcadia, FL",2020-05-31,,,139.0,55.0,,,,158953.97048146228,,,
"Arcadia, FL",2020-06-30,,,134.0,70.0,,,,158499.1575380291,,,
"Arcadia, FL",2020-07-31,,,133.0,90.0,,,,158892.76336030586,,,
"Arcadia, FL",2020-08-31,,,127.0,90.0,,,,160424.4437436995,,,
"Arcadia, FL",2020-09-30,,,121.0,80.0,,,,163171.9904271807,,,
"Arcadia, FL",2020-10-31,,,115.0,77.0,,,,166131.79854623458,,,
"Arcadia, FL",2020-11-30,,,113.0,86.0,,,,169279.1076206039,,,
"Arcadia, FL",2020-12-31,,,108.0,126.0,,,,172185.6535213161,,,
"Arcadia, FL",2021-01-31,,,104.0,160.0,,,,175021.2760794694,,,
"Arcadia, FL",2021-02-28,,,98.0,170.0,,,,177893.6564298276,,,
"Arcadia, FL",2021-03-31,,,97.0,144.0,,,,180661.87474996076,,,
"Arcadia, FL",2021-04-30,,,102.0,153.0,,,,183348.36707413616,,,
"Arcadia, FL",2021-05-31,,,106.0,141.0,,,,186453.8539717963,,,
"Arcadia, FL",2021-06-30,,,106.0,177.0,,,,190565.69494871,,,
"Arcadia, FL",2021-07-31,,,96.0,193.0,,,,194540.7870104064,,,
"Arcadia, FL",2021-08-31,,,90.0,164.0,,,,198005.11807341615,,,
"Arcadia, FL",2021-09-30,,,90.0,133.0,,,,200298.1232609962,,,
"Arcadia, FL",2021-10-31,,,92.0,138.0,,,,203089.06263004127,,,
"Arcadia, FL",2021-11-30,,,93.0,123.0,,,,206769.13506787238,,,
"Arcadia, FL",2021-12-31,,,96.0,129.0,,,,211665.01269573777,,,
"Arcadia, FL",2022-01-31,,,97.0,181.0,,,,218287.68233512106,,,
"Arcadia, FL",2022-02-28,,,97.0,170.0,,,,226085.54910454564,,,
"Arcadia, FL",2022-03-31,,,98.0,171.0,,,,234568.68372271513,,,
"Arcadia, FL",2022-04-30,,,101.0,180.0,,,,242787.48929577428,,,
"Arcadia, FL",2022-05-31,,,104.0,147.0,,,,249629.1382675088,,,
"Arcadia, FL",2022-06-30,,,102.0,73.0,,,,255648.5744599785,,,
"Arcadia, FL",2022-07-31,,,104.0,61.0,,,,259294.20730054565,,,
"Arcadia, FL",2022-08-31,,,110.0,50.0,,,,261214.5865217202,,,
"Arcadia, FL",2022-09-30,,,112.0,13.0,,,,261237.3271185716,,,
"Arcadia, FL",2022-10-31,,,111.0,10.0,,,,260962.61279410022,,,
"Arcadia, FL",2022-11-30,,,103.0,25.0,,,,260542.75943816945,,,
"Arcadia, FL",2022-12-31,,,98.0,53.0,,,,259608.75556622745,,,
"Arcadia, FL",2023-01-31,,,93.0,79.0,,,,257431.24420657594,,,
"Arcadia, FL",2023-02-28,,,99.0,96.0,,,,254947.53068313273,,,
"Arcadia, FL",2023-03-31,,,106.0,67.0,,,,252934.6782460581,,,
"Arcadia, FL",2023-04-30,,,112.0,26.0,,,,252663.44577756873,,,
"Arcadia, FL",2023-05-31,,,115.0,31.0,,,,253448.8747606737,,,
"Arcadia, FL",2023-06-30,,,117.0,53.0,,,,254985.7930526829,,,
"Arcadia, FL",2023-07-31,,,119.0,58.0,,,,256413.70133293056,,,
"Arcadia, FL",2023-08-31,,,121.0,37.0,,,,257296.42454215858,,,
"Arcadia, FL",2023-09-30,,,122.0,25.0,,,,257863.69559366474,,,
"Arcadia, FL",2023-10-31,,,129.0,19.0,,,,257831.00903104828,,,
"Arcadia, FL",2023-11-30,,,138.0,5.0,,,,257756.53124443916,,,
"Arcadia, FL",2023-12-31,,,145.0,-6.0,,,,257527.32278173862,,,
"Arcadia, FL",2024-01-31,,,154.0,-16.0,,,,257551.07686961323,,,
"Arcadia, FL",2024-02-29,,,163.0,-2.0,,,,257907.0636260362,,,
"Arcadia, FL",2024-03-31,,,171.0,-5.0,,,,258621.66212568732,,,
"Arcadia, FL",2024-04-30,,,175.0,4.0,,,,259504.3721696192,,,
"Arcadia, FL",2024-05-31,,,172.0,-4.0,,,,259745.65450761514,,,
"Arcadia, FL",2024-06-30,,,174.0,3.0,,,,259609.7255781873,,,
"Arcadia, FL",2024-07-31,,,182.0,15.0,,,,259310.72808142635,,,
"Arcadia, FL",2024-08-31,,,176.0,28.0,,,,259350.52469742755,,,
"Arcadia, FL",2024-09-30,,,164.0,12.0,,,,259322.78343050007,,,
"Arcadia, FL",2024-10-31,,,142.0,-2.0,,,,259006.3347218168,,,
"Arcadia, FL",2024-11-30,,,136.0,-8.0,,,,258219.46454926624,,,
"Arcadia, FL",2024-12-31,,,137.0,-4.0,,,,257215.26758377536,,,
"Arcadia, FL",2025-01-31,,,148.0,-8.0,,,,255950.7850685258,,,
"Arcadia, FL",2025-02-28,,,167.0,-4.0,,,,254481.0635396546,,,
"Arcadia, FL",2025-03-31,,,181.0,-18.0,,,,252201.1743131141,,,
"Arcadia, FL",2025-04-30,,,186.0,-12.0,,,,249698.9483725061,,,
"Arcadia, FL",2025-05-31,,,176.0,-6.0,,,,247470.68911290076,,,
"Arcadia, FL",2025-06-30,,,166.0,2.0,,,,246174.37948318254,,,
"Arcadia, FL",2025-07-31,,,154.0,-3.0,,,,245198.53702070122,,,
"Arcadia, FL",2025-08-31,,,145.0,-6.0,,,,244333.38775553353,,,
"Arcadia, FL",2025-09-30,,,139.0,-18.0,,,,243724.8605533472,,,
"Arcadia, FL",2025-10-31,,,136.0,-21.0,,,,243254.15127116104,,,
"Arcadia, FL",2025-11-30,,,137.0,-18.0,,,,243294.9886842942,,,
"Arcadia, FL",2025-12-31,,,136.0,-16.0,,,,243507.26339411837,,,
"Arcadia, FL",2026-01-31,,,144.0,-22.0,,,,243899.99721286903,,,
"Arcadia, FL",2026-02-28,,,,,,,0.0,,,,
"Arcadia, FL",2026-04-30,,,,,,,-0.1,,,,
"Arcadia, FL",2027-01-31,,,,,,,0.7,,,,
"Cape Coral, FL",2000-01-31,,,,,,,,127364.6140881212,,,
"Cape Coral, FL",2000-02-29,,,,,,,,127551.67189229831,,,
"Cape Coral, FL",2000-03-31,,,,,,,,127742.55637598323,,,
"Cape Coral, FL",2000-04-30,,,,,,,,128203.07188909635,,,
"Cape Coral, FL",2000-05-31,,,,,,,,128818.77601920516,,,
"Cape Coral, FL",2000-06-30,,,,,,,,129770.34549519555,,,
"Cape Coral, FL",2000-07-31,,,,,,,,130727.30652512016,,,
"Cape Coral, FL",2000-08-31,,,,,,,,131502.69990749948,,,
"Cape Coral, FL",2000-09-30,,,,,,,,132109.29559695852,,,
"Cape Coral, FL",2000-10-31,,,,,,,,132823.2003085134,,,
"Cape Coral, FL",2000-11-30,,,,,,,,133746.4014919987,,,
"Cape Coral, FL",2000-12-31,,,,,,,,134642.89389151675,,,
"Cape Coral, FL",2001-01-31,,,,,,,,135366.78796680743,,,
"Cape Coral, FL",2001-02-28,,,,,,,,136039.7945973072,,,
"Cape Coral, FL",2001-03-31,,,,,,,,136767.1735236809,,,
"Cape Coral, FL",2001-04-30,,,,,,,,137734.80834278537,,,
"Cape Coral, FL",2001-05-31,,,,,,,,138848.28917397626,,,
"Cape Coral, FL",2001-06-30,,,,,,,,139979.4518179125,,,
"Cape Coral, FL",2001-07-31,,,,,,,,141057.318465778,,,
"Cape Coral, FL",2001-08-31,,,,,,,,142129.55345155342,,,
"Cape Coral, FL",2001-09-30,,,,,,,,143230.65906792038,,,
"Cape Coral, FL",2001-10-31,,,,,,,,144314.96430629244,,,
"Cape Coral, FL",2001-11-30,,,,,,,,145380.53402909345,,,
"Cape Coral, FL",2001-12-31,,,,,,,,146530.21728668237,,,
"Cape Coral, FL",2002-01-31,,,,,,,,147658.32125338694,,,
"Cape Coral, FL",2002-02-28,,,,,,,,148820.4811113989,,,
"Cape Coral, FL",2002-03-31,,,,,,,,149990.07830108472,,,
"Cape Coral, FL",2002-04-30,,,,,,,,151358.031111957,,,
"Cape Coral, FL",2002-05-31,,,,,,,,152872.36522450866,,,
"Cape Coral, FL",2002-06-30,,,,,,,,154460.73578476018,,,
"Cape Coral, FL",2002-07-31,,,,,,,,155941.2563460311,,,
"Cape Coral, FL",2002-08-31,,,,,,,,157450.6177434383,,,
"Cape Coral, FL",2002-09-30,,,,,,,,158931.9923158535,,,
"Cape Coral, FL",2002-10-31,,,,,,,,160574.94785270572,,,
"Cape Coral, FL",2002-11-30,,,,,,,,162030.0382763642,,,
"Cape Coral, FL",2002-12-31,,,,,,,,163422.1212447955,,,
"Cape Coral, FL",2003-01-31,,,,,,,,164820.78911597258,,,
"Cape Coral, FL",2003-02-28,,,,,,,,166319.13963827366,,,
"Cape Coral, FL",2003-03-31,,,,,,,,167954.1865001958,,,
"Cape Coral, FL",2003-04-30,,,,,,,,169705.38050277156,,,
"Cape Coral, FL",2003-05-31,,,,,,,,171640.50130725463,,,
"Cape Coral, FL",2003-06-30,,,,,,,,173728.85622567442,,,
"Cape Coral, FL",2003-07-31,,,,,,,,175509.99947946065,,,
"Cape Coral, FL",2003-08-31,,,,,,,,176961.56312616754,,,
"Cape Coral, FL",2003-09-30,,,,,,,,178356.25801357182,,,
"Cape Coral, FL",2003-10-31,,,,,,,,179976.8775845236,,,
"Cape Coral, FL",2003-11-30,,,,,,,,181526.74461241974,,,
"Cape Coral, FL",2003-12-31,,,,,,,,182904.66614870695,,,
"Cape Coral, FL",2004-01-31,,,,,,,,184047.1804467745,,,
"Cape Coral, FL",2004-02-29,,,,,,,,185335.20869252481,,,
"Cape Coral, FL",2004-03-31,,,,,,,,186693.41457057736,,,
"Cape Coral, FL",2004-04-30,,,,,,,,188538.60474318507,,,
"Cape Coral, FL",2004-05-31,,,,,,,,190828.57342139469,,,
"Cape Coral, FL",2004-06-30,,,,,,,,193693.8068892661,,,
"Cape Coral, FL",2004-07-31,,,,,,,,196829.1255427622,,,
"Cape Coral, FL",2004-08-31,,,,,,,,200201.1305456626,,,
"Cape Coral, FL",2004-09-30,,,,,,,,203371.5240221105,,,
"Cape Coral, FL",2004-10-31,,,,,,,,206008.83951271282,,,
"Cape Coral, FL",2004-11-30,,,,,,,,208783.9058899621,,,
"Cape Coral, FL",2004-12-31,,,,,,,,211752.124844997,,,
